<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
comex.GC,D,01/01/20,000000,1521.0000000,1524.0000000,1520.5000000,1521.0000000,5291
comex.GC,D,02/01/20,000000,1520.9000000,1534.0000000,1519.7000000,1531.3000000,236447
comex.GC,D,03/01/20,000000,1531.3000000,1556.6000000,1531.3000000,1555.2000000,383128
comex.GC,D,05/01/20,000000,1562.7000000,1590.9000000,1562.3000000,1571.6000000,42728
comex.GC,D,06/01/20,000000,1571.5000000,1582.5000000,1562.7000000,1565.7000000,452446
comex.GC,D,07/01/20,000000,1565.8000000,1600.0000000,1557.0000000,1596.7000000,401519
comex.GC,D,08/01/20,000000,1596.6000000,1613.3000000,1553.4000000,1559.0000000,670982
comex.GC,D,09/01/20,000000,1559.0000000,1562.4000000,1541.0000000,1553.6000000,325402
comex.GC,D,10/01/20,000000,1553.6000000,1564.1000000,1546.7000000,1563.2000000,288425
comex.GC,D,12/01/20,000000,1563.0000000,1563.1000000,1558.9000000,1560.1000000,4959
comex.GC,D,13/01/20,000000,1560.3000000,1561.0000000,1545.4000000,1545.8000000,216256
comex.GC,D,14/01/20,000000,1545.7000000,1550.6000000,1536.4000000,1550.0000000,284252
comex.GC,D,15/01/20,000000,1550.1000000,1558.8000000,1546.7000000,1556.4000000,258432
comex.GC,D,16/01/20,000000,1556.4000000,1558.2000000,1548.0000000,1552.3000000,226927
comex.GC,D,17/01/20,000000,1552.4000000,1561.4000000,1549.3000000,1557.3000000,223962
comex.GC,D,19/01/20,000000,1557.3000000,1559.1000000,1555.9000000,1557.1000000,3400
comex.GC,D,20/01/20,000000,1557.1000000,1562.7000000,1556.6000000,1561.3000000,68128
comex.GC,D,21/01/20,000000,1561.2000000,1568.8000000,1546.0000000,1556.3000000,328460
comex.GC,D,22/01/20,000000,1556.3000000,1563.3000000,1550.0000000,1561.0000000,215791
comex.GC,D,23/01/20,000000,1561.0000000,1567.5000000,1551.3000000,1560.3000000,283759
comex.GC,D,24/01/20,000000,1560.3000000,1575.3000000,1555.8000000,1571.3000000,310604
comex.GC,D,26/01/20,000000,1580.5000000,1588.4000000,1578.7000000,1582.1000000,25447
comex.GC,D,27/01/20,000000,1582.0000000,1585.8000000,1575.3000000,1580.3000000,276080
comex.GC,D,28/01/20,000000,1580.3000000,1582.2000000,1564.6000000,1567.5000000,244763
comex.GC,D,29/01/20,000000,1567.4000000,1577.7000000,1562.0000000,1576.7000000,132725
comex.GC,D,30/01/20,000000,1576.6000000,1585.0000000,1571.5000000,1579.7000000,29743
comex.GC,D,31/01/20,000000,1579.7000000,1595.5000000,1575.0000000,1593.6000000,275509
comex.GC,D,02/02/20,000000,1597.8000000,1598.5000000,1592.0000000,1593.9000000,12266
comex.GC,D,03/02/20,000000,1593.9000000,1594.5000000,1573.3000000,1583.1000000,266834
comex.GC,D,04/02/20,000000,1583.0000000,1584.5000000,1552.8000000,1557.8000000,313445
comex.GC,D,05/02/20,000000,1557.8000000,1566.2000000,1551.1000000,1559.7000000,269458
comex.GC,D,06/02/20,000000,1559.7000000,1571.9000000,1556.0000000,1569.3000000,209134
comex.GC,D,07/02/20,000000,1569.3000000,1577.7000000,1563.6000000,1573.8000000,249531
comex.GC,D,09/02/20,000000,1575.8000000,1580.2000000,1572.6000000,1578.3000000,10584
comex.GC,D,10/02/20,000000,1578.3000000,1580.5000000,1571.5000000,1575.4000000,172597
comex.GC,D,11/02/20,000000,1575.5000000,1577.5000000,1565.2000000,1570.3000000,210681
comex.GC,D,12/02/20,000000,1570.3000000,1574.4000000,1564.4000000,1572.8000000,171920
comex.GC,D,13/02/20,000000,1572.8000000,1581.7000000,1572.0000000,1580.4000000,245995
comex.GC,D,14/02/20,000000,1580.3000000,1588.2000000,1576.0000000,1586.9000000,201232
comex.GC,D,16/02/20,000000,1585.1000000,1586.2000000,1583.3000000,1586.0000000,4547
comex.GC,D,17/02/20,000000,1586.1000000,1589.0000000,1581.8000000,1587.0000000,68359
comex.GC,D,18/02/20,000000,1587.1000000,1608.2000000,1587.0000000,1603.7000000,303905
comex.GC,D,19/02/20,000000,1603.8000000,1615.9000000,1602.4000000,1613.0000000,293319
comex.GC,D,20/02/20,000000,1613.1000000,1626.5000000,1606.6000000,1624.8000000,362618
comex.GC,D,21/02/20,000000,1624.9000000,1652.1000000,1621.6000000,1645.9000000,421682
comex.GC,D,23/02/20,000000,1656.0000000,1684.1000000,1654.6000000,1668.2000000,38986
comex.GC,D,24/02/20,000000,1668.2000000,1691.7000000,1652.8000000,1656.1000000,556253
comex.GC,D,25/02/20,000000,1656.0000000,1661.0000000,1627.0000000,1641.9000000,531146
comex.GC,D,26/02/20,000000,1641.8000000,1657.1000000,1626.7000000,1645.5000000,419059
comex.GC,D,27/02/20,000000,1645.3000000,1662.3000000,1636.7000000,1647.3000000,385213
comex.GC,D,28/02/20,000000,1647.2000000,1649.8000000,1564.0000000,1587.3000000,453632
comex.GC,D,01/03/20,000000,1592.8000000,1594.3000000,1576.3000000,1586.1000000,15270
comex.GC,D,02/03/20,000000,1585.9000000,1612.1000000,1582.5000000,1592.9000000,340417
comex.GC,D,03/03/20,000000,1592.7000000,1654.3000000,1590.9000000,1646.8000000,252731
comex.GC,D,04/03/20,000000,1646.8000000,1650.6000000,1632.6000000,1637.4000000,244352
comex.GC,D,05/03/20,000000,1637.2000000,1675.7000000,1636.2000000,1675.3000000,275354
comex.GC,D,06/03/20,000000,1675.2000000,1692.8000000,1645.4000000,1674.2000000,409983
comex.GC,D,08/03/20,000000,1692.6000000,1704.3000000,1680.4000000,1701.2000000,37354
